TIME, U1, U2, U3, I1, I2, I3
4.36, -392.06, -393.226, -392.0, -9.57, -7.32, -9.31
4.38, 393.024, 392.576, 392.605, 7.9, 10.46, 8.36
4.4, -392.196, -393.09, -391.864, -9.79, -7.43, -8.98
4.42, 392.888, 392.44, 392.741, 8.01, 10.23, 8.47
4.44, -392.264, -393.09, -391.932, -9.68, -7.43, -9.09
4.46, 392.888, 392.372, 392.605, 8.01, 10.34, 8.36
4.48, -392.264, -393.09, -391.796, -9.68, -7.54, -9.2
4.5, 392.888, 392.372, 392.605, 8.01, 10.34, 8.36
4.52, -392.264, -393.022, -391.864, -9.79, -7.43, -9.2
4.54, 392.956, 392.372, 392.605, 8.01, 10.46, 8.36
4.56, -392.264, -393.09, -392.0, -9.57, -7.65, -9.2
4.58, 392.82, 392.372, 392.605, 8.01, 10.57, 8.58
4.6, -392.4, -393.022, -391.864, -9.68, -7.65, -9.2
4.62, 393.092, 392.236, 392.605, 8.12, 10.46, 8.47
4.64, -392.06, -393.022, -391.864, -9.68, -7.43, -9.09
4.66, 393.16, 392.372, 392.673, 8.01, 10.46, 8.25
4.68, -392.264, -393.022, -391.932, -9.79, -7.43, -8.98
4.7, 392.956, 392.236, 392.741, 8.12, 10.23, 8.36
4.72, -392.128, -392.954, -392.0, -9.79, -7.65, -9.09
4.74, 392.82, 392.168, 392.605, 8.23, 10.23, 8.47
4.76, -392.06, -393.09, -392.136, -9.79, -7.65, -9.09
4.78, 392.888, 392.304, 392.741, 7.9, 10.34, 8.36
4.8, -392.128, -392.886, -392.068, -9.68, -7.43, -8.98
4.82, 392.956, 392.236, 392.741, 8.12, 10.79, 8.47
4.84, -392.264, -392.818, -392.204, -9.68, -7.54, -9.2
4.86, 392.888, 392.1, 392.809, 8.01, 10.46, 8.47
4.88, -392.06, -392.75, -392.136, -9.79, -7.65, -9.09
4.9, 393.024, 392.168, 392.945, 8.01, 10.68, 8.47
4.92, -392.06, -392.954, -392.068, -9.57, -7.43, -9.09
4.94, 392.888, 392.1, 392.741, 8.01, 10.23, 8.36
4.96, -392.196, -392.954, -392.0, -9.68, -7.54, -9.09
4.98, 392.888, 392.168, 392.741, 8.12, 10.23, 8.58
5.0, -392.332, -392.954, -392.0, -9.68, -7.54, -8.98
5.02, 393.092, 392.032, 392.741, 8.34, 10.57, 8.36
5.04, -392.128, -392.886, -392.204, -9.79, -7.43, -9.09
5.06, 392.956, 392.168, 392.741, 8.12, 10.46, 8.58
5.08, -392.128, -393.09, -392.068, -9.79, -7.43, -9.09
5.1, 392.956, 392.44, 392.741, 8.01, 10.46, 8.47
5.12, -392.128, -393.09, -392.068, -9.57, -7.43, -8.98
5.14, 392.956, 392.44, 392.809, 8.12, 10.34, 8.58
5.16, -392.332, -393.362, -392.068, -9.79, -7.54, -9.09
5.18, 392.888, 392.508, 392.809, 8.01, 10.23, 8.47
5.2, -392.264, -393.022, -392.0, -9.68, -7.65, -8.98
5.22, 393.092, 392.372, 392.809, 8.01, 10.34, 8.47
5.24, -392.196, -393.022, -392.136, -9.9, -7.54, -9.09
5.26, 393.024, 392.44, 392.741, 8.01, 10.34, 8.47
5.28, -392.332, -393.022, -392.068, -9.79, -7.43, -9.09
5.3, 393.024, 392.508, 392.877, 8.23, 10.46, 8.47
5.32, -392.332, -393.158, -392.136, -9.68, -7.43, -9.2
5.34, 393.092, 392.372, 392.945, 8.01, 10.23, 8.47
5.36, -392.264, -393.158, -392.136, -9.68, -7.43, -9.31
5.38, 393.024, 392.372, 392.809, 8.12, 10.34, 8.47
5.4, -392.196, -395.334, -392.817, -11.34, -10.67, -10.4
5.42, 170.366, 392.236, 393.354, 11.44, 14.26, 10.1
5.44, -169.606, -393.226, -392.272, -2.16, -0.61, -2.33
5.46, 170.162, 392.508, 392.809, 0.49, 3.3, 1.6
5.48, -169.606, -393.158, -392.272, -2.16, -0.28, -2.22
5.5, 170.162, 392.44, 392.809, 0.49, 3.3, 1.49
5.52, -169.606, -393.226, -392.204, -2.16, -0.39, -2.33
5.54, 170.162, 392.44, 392.809, 0.49, 3.08, 1.38
5.56, -169.538, -393.226, -392.272, -2.27, -0.39, -2.22
5.58, 170.162, 392.44, 392.809, 0.93, 3.3, 1.71
5.6, -169.606, -393.158, -392.204, -2.27, -0.28, -2.11
5.62, 170.23, 392.576, 392.877, 0.49, 3.3, 1.49
5.64, -169.606, -393.226, -392.272, -2.16, -0.39, -2.22
5.66, 170.162, 392.508, 392.877, 0.6, 3.3, 1.6
5.68, -169.674, -393.158, -392.272, -2.16, -0.39, -2.33
5.7, 170.23, 392.44, 392.809, 0.6, 3.3, 1.38
5.72, -169.742, -393.158, -392.136, -2.38, -0.28, -2.22
5.74, 170.298, 392.44, 392.877, 0.49, 3.19, 1.49
5.76, -169.606, -393.158, -392.272, -2.27, -0.28, -2.22
5.78, 170.162, 392.576, 392.945, 0.49, 3.3, 1.49
5.8, -169.674, -393.158, -392.272, -2.27, -0.39, -2.22
5.82, 170.162, 392.372, 393.013, 0.6, 3.3, 1.49
5.84, -169.742, -393.226, -392.204, -2.16, -0.28, -2.22
5.86, 170.298, 392.508, 392.945, 0.49, 3.19, 1.6
5.88, -169.674, -393.226, -392.204, -2.38, -0.39, -2.11
5.9, 170.23, 392.576, 392.945, 0.6, 3.52, 1.49
5.92, -169.606, -393.226, -392.272, -2.27, -0.39, -2.33
5.94, 170.23, 392.576, 392.809, 0.49, 3.19, 1.49
5.96, -169.742, -393.158, -392.34, -2.16, -0.28, -2.11
5.98, 170.434, 392.576, 392.809, 0.49, 3.08, 1.49
6.0, -169.674, -393.158, -392.136, -2.27, -0.39, -2.11
6.02, 170.298, 392.508, 392.945, 0.49, 3.3, 1.49
6.04, -169.402, -393.158, -392.272, -2.49, -0.5, -2.11
6.06, 170.094, 392.576, 392.945, 0.49, 3.3, 1.38
6.08, -169.538, -393.09, -392.204, -2.27, -0.39, -2.22
6.1, 170.094, 392.508, 392.945, 0.49, 3.19, 1.49
6.12, -169.47, -392.886, -392.068, -2.16, -0.39, -2.33
6.14, 170.094, 392.236, 392.741, 0.71, 3.3, 1.49
6.16, -169.47, -392.886, -392.136, -2.16, -0.5, -2.11
6.18, 170.162, 392.168, 392.809, 0.38, 3.3, 1.6
6.2, -169.47, -392.886, -392.136, -2.16, -0.39, -2.11
6.22, 169.958, 392.372, 392.809, 0.49, 3.3, 1.38
6.24, -169.402, -393.022, -392.068, -2.27, -0.28, -2.22
6.26, 170.23, 392.1, 392.741, 0.49, 3.19, 1.6
6.28, -169.47, -392.886, -392.136, -2.27, -0.39, -2.22
6.3, 170.094, 392.168, 392.741, 0.6, 3.3, 1.49
6.32, -169.47, -392.818, -392.136, -2.38, -0.39, -2.22
6.34, 170.026, 392.236, 392.809, 0.71, 3.19, 1.49
6.36, -169.47, -392.886, -392.136, -2.27, -0.39, -2.22
6.38, 170.026, 392.1, 392.741, 0.49, 3.41, 1.49
6.4, -169.402, -392.818, -392.204, -2.27, -0.28, -2.22
6.42, 170.162, 392.1, 392.741, 0.49, 3.41, 1.38
6.44, -169.47, -393.022, -392.0, -2.27, -0.28, -2.11
6.46, 170.026, 392.1, 392.741, 0.6, 3.3, 1.38
6.48, -169.47, -392.818, -392.136, -2.16, -0.28, -2.22
6.5, 170.094, 392.168, 392.809, 0.49, 3.19, 1.38
6.52, -169.47, -392.818, -392.068, -2.16, -0.28, -2.33
6.54, 170.094, 392.168, 392.877, 0.6, 3.3, 1.49
6.56, -169.538, -392.818, -392.068, -2.27, -0.28, -2.33
6.58, 170.094, 392.168, 392.741, 0.6, 3.3, 1.38
6.6, -169.606, -392.954, -392.136, -2.16, -0.39, -2.11
6.62, 170.162, 392.304, 392.673, 0.6, 3.19, 1.38
6.64, -169.538, -392.954, -392.204, -2.16, -0.28, -2.22
6.66, 170.026, 392.372, 392.809, 0.6, 3.3, 1.38
6.68, -169.47, -392.886, -392.136, -2.27, -0.28, -2.22
6.7, 170.026, 392.372, 392.741, 0.49, 3.19, 1.71
6.72, -169.47, -392.954, -392.34, -2.27, -0.5, -2.11
6.74, 169.958, 392.236, 392.877, 0.49, 3.3, 1.38
6.76, -169.47, -393.022, -392.136, -2.16, -0.39, -2.22
6.78, 170.026, 392.236, 392.741, 0.6, 3.19, 1.38
6.8, -169.47, -393.022, -392.204, -2.16, -0.28, -2.33
6.82, 170.026, 392.304, 392.741, 0.6, 3.3, 1.49
6.84, -169.606, -393.022, -392.136, -2.27, -0.39, -2.22
6.86, 170.026, 392.168, 392.809, 0.38, 3.3, 1.6
6.88, -169.402, -392.886, -392.136, -2.16, -0.28, -2.22
6.9, 170.094, 392.236, 392.877, 0.49, 3.19, 1.49
6.92, -169.334, -392.818, -391.932, -1.5, 0.84, -1.02
6.94, 169.89, 392.1, 392.605, -0.06, 2.18, 0.4
6.96, -169.402, -392.818, -391.932, -1.5, 0.84, -1.13
6.98, 169.89, 391.964, 392.605, -0.06, 2.41, 0.29
7.0, -169.402, -392.818, -392.0, -1.61, 0.73, -1.13
7.02, 170.026, 392.1, 392.605, -0.17, 2.29, 0.29
7.04, -169.334, -392.682, -391.932, -1.5, 0.73, -1.02
7.06, 169.89, 392.032, 392.673, -0.28, 2.18, 0.4
7.08, -169.334, -392.818, -392.0, -1.5, 0.62, -1.13
7.1, 169.89, 392.032, 392.605, -0.06, 2.29, 0.51
7.12, -169.334, -392.682, -392.0, -1.5, 0.62, -1.13
7.14, 169.89, 392.032, 392.605, -0.17, 2.29, 0.4
7.16, -169.334, -392.75, -392.0, -1.5, 0.73, -1.02
7.18, 170.026, 392.032, 392.673, -0.17, 2.18, 0.4
7.2, -169.266, -392.75, -392.0, -1.61, 0.73, -1.13
7.22, 169.822, 392.032, 392.673, -0.17, 2.41, 0.4
7.24, -169.266, -392.682, -391.932, -1.72, 0.73, -1.24
7.26, 169.89, 391.896, 392.741, -0.17, 2.29, 0.4
7.28, -169.334, -392.682, -392.068, -1.61, 0.73, -1.13
