TIME, U1, U2, U3, I1, I2, I3
5.42, 230.009, 229.459, 229.707, 13.43, 16.05, 14.47
5.44, -229.589, -230.993, -229.647, -18.31, -12.91, -13.45
5.46, 230.553, 229.799, 229.843, 10.11, 17.27, 17.63
5.48, -229.589, -230.517, -229.374, -15.32, -16.04, -15.31
5.5, 230.145, 229.595, 230.048, 15.42, 15.82, 15.34
5.52, -229.657, -230.517, -229.374, -15.76, -13.13, -14.76
5.54, 230.077, 229.663, 229.911, 13.65, 15.93, 14.25
5.56, -229.725, -230.449, -229.374, -15.32, -13.13, -14.76
5.58, 230.145, 229.527, 230.048, 13.76, 15.93, 14.25
5.6, -229.793, -230.381, -229.442, -15.32, -13.02, -14.65
5.62, 230.077, 229.867, 229.911, 13.65, 15.93, 14.14
5.64, -229.725, -230.721, -229.374, -15.43, -13.13, -14.65
5.66, 230.145, 229.799, 229.979, 13.87, 15.93, 14.03
5.68, -229.521, -230.449, -229.374, -15.43, -13.13, -14.55
5.7, 230.077, 229.663, 229.979, 13.76, 15.93, 14.14
5.72, -229.657, -230.449, -229.442, -15.21, -13.13, -14.87
5.74, 229.873, 229.731, 229.911, 13.76, 15.93, 14.25
5.76, -229.725, -230.585, -229.442, -15.43, -13.13, -14.87
5.78, 230.009, 229.731, 230.048, 13.87, 15.93, 14.25
5.8, -229.725, -230.517, -229.374, -15.32, -13.13, -14.76
5.82, 230.009, 229.799, 229.979, 13.76, 15.93, 14.03
5.84, -229.793, -230.585, -229.442, -15.43, -13.02, -14.55
5.86, 230.213, 229.731, 229.979, 13.76, 15.93, 14.36
5.88, -229.793, -230.653, -229.306, -15.32, -13.36, -14.65
5.9, 230.145, 229.799, 229.979, 13.87, 16.05, 14.14
5.92, -229.589, -230.517, -229.374, -15.43, -13.13, -14.65
5.94, 229.941, 229.595, 229.911, 13.76, 16.16, 14.03
5.96, -229.589, -230.042, -229.102, -15.43, -13.24, -14.76
5.98, 230.009, 229.323, 229.911, 13.98, 15.93, 14.25
6.0, -229.521, -230.042, -229.17, -15.43, -13.24, -14.76
6.02, 230.009, 229.527, 229.843, 13.76, 15.82, 14.14
6.04, -229.589, -230.109, -229.034, -15.43, -13.13, -14.65
6.06, 230.009, 229.255, 229.775, 13.87, 16.05, 14.14
6.08, -229.453, -229.974, -229.306, -15.32, -13.36, -14.76
6.1, 230.009, 229.459, 229.775, 13.87, 15.71, 14.14
6.12, -229.725, -230.109, -229.238, -15.43, -13.13, -14.76
6.14, 229.941, 229.187, 229.843, 13.65, 15.82, 14.25
